Source,Category ID,Name,OVOKO ID,OVOKO Name,Level
BaseLinker,1730913,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Materiały instalacyjne/Kostki, złączki",1299,Układ zapłonowy,2
BaseLinker,1730914,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Lusterka wewnętrzne,1524,Lusterko wsteczne,3
BaseLinker,1730915,"Motoryzacja/Części samochodowe/Oświetlenie/Wsporniki, mocowania, obudowy",134,Oświetlenie,1
BaseLinker,1730916,Motoryzacja/Części samochodowe/Układ napędowy/Skrzynie biegów/Lewarki i wybieraki,1772,Wybierak biegów,3
BaseLinker,1730918,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Świece/Żarowe",1301,Świeca żarowa,3
BaseLinker,1730919,Motoryzacja/Części samochodowe/Silniki i osprzęt/Kolektory ssące,288,Kolektor ssący,3
BaseLinker,1730920,Motoryzacja/Części samochodowe/Układ klimatyzacji/Przewody klimatyzacji,197,Układ klimatyzacji / Wentylacji / Chłodzenia silnika / Ogrzewanie postojowe,1
BaseLinker,1730921,Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Pozostałe,197,Układ klimatyzacji / Wentylacji / Chłodzenia silnika / Ogrzewanie postojowe,1
BaseLinker,1730922,Motoryzacja/Części samochodowe/Oświetlenie/Lampy tylne i elementy/Pozostałe,134,Oświetlenie,1
BaseLinker,1730923,"Motoryzacja/Części samochodowe/Części karoserii/Wsporniki, mocowania",624,Części nadwozia i karoserii,1
BaseLinker,1730924,Motoryzacja/Części samochodowe/Części karoserii/Nadkola,804,Nadkola i osłony przeciwbłotne,2
BaseLinker,1730926,Motoryzacja/Części samochodowe/Wycieraczki i spryskiwacze/Pozostałe,98,Wycieraczki i spryskiwacze szyb i świateł,1
BaseLinker,1730927,Motoryzacja/Części samochodowe/Części karoserii/Maski/Wygłuszenie,521,Izolacja termiczna / wygłuszenie pokrywy / maski silnika,3
